tick,wh1_humidity,wh1_temperature,wh1_inventory,wh2_humidity,wh2_temperature,wh2_inventory,dc_capacity,dc_throughput,shipment_humidity,shipment_temperature,arm1_active,arm2_active,truck_cargo,mold_detected,retail_stock
300,61.1,21.6,337,45.1,20.3,452,77.2,369,60.0,22.0,True,True,3,False,260
301,60.4,21.9,336,46.8,17.8,452,75.1,327,62.7,22.8,True,True,4,False,259
302,60.0,22.1,334,44.2,16.3,451,77.8,362,57.7,22.7,True,True,5,False,257
303,60.4,23.1,332,43.1,19.6,451,73.2,345,57.7,22.8,True,True,6,False,256
304,56.6,23.2,332,45.9,16.2,449,77.6,294,58.5,23.0,True,True,7,False,256
305,56.3,23.7,331,43.1,18.8,447,77.7,343,56.7,25.5,True,True,8,False,255
306,57.6,23.8,329,44.5,21.0,446,75.4,409,56.6,23.3,True,True,9,False,255
307,56.6,23.6,328,42.6,19.7,446,77.7,334,55.9,24.3,True,True,10,False,254
308,55.6,24.5,328,42.7,17.6,444,71.7,356,58.5,24.1,True,True,0,False,252
309,56.6,24.6,325,44.4,16.5,444,77.0,343,55.0,26.0,True,True,1,False,252
310,54.5,24.7,323,44.0,19.9,443,75.7,377,52.0,23.9,True,True,2,False,251
311,53.6,24.7,322,43.3,16.8,442,76.3,318,52.6,25.8,True,True,3,False,252
312,54.2,25.5,319,43.8,18.0,443,75.4,401,54.6,24.6,True,True,4,False,252
313,51.2,25.5,319,41.5,19.9,441,71.3,414,49.7,24.7,True,True,5,False,252
314,51.4,25.1,318,43.0,20.1,440,74.3,358,49.4,25.1,True,True,6,False,252
315,52.6,25.7,317,41.6,16.1,439,75.4,317,54.8,27.2,True,True,7,False,252
316,51.5,26.0,316,39.3,18.6,440,69.7,284,50.8,27.7,True,True,8,False,251
317,49.0,26.0,314,39.0,20.3,439,73.3,372,51.2,25.1,True,True,9,False,252
318,49.9,26.4,314,39.5,17.5,438,74.6,285,47.1,28.2,True,True,10,False,252
319,48.6,26.3,313,41.4,17.1,439,72.4,287,51.3,28.1,True,True,0,False,253
320,47.4,26.6,310,39.9,19.3,438,72.1,364,47.1,26.0,True,True,1,False,251
321,47.7,27.0,307,40.9,16.7,437,68.1,310,45.8,28.5,True,True,2,False,249
322,44.9,28.0,306,39.4,19.0,436,72.5,348,45.5,28.8,True,True,3,False,249
323,45.1,27.3,306,38.2,20.8,435,70.9,329,43.5,27.5,True,True,4,False,250
324,47.3,27.7,305,41.8,19.0,435,69.6,343,46.9,29.0,True,True,5,False,250
325,46.4,28.1,302,40.9,19.7,433,70.6,342,46.5,28.3,True,True,6,False,250
326,44.9,28.6,301,40.1,18.3,433,64.7,293,46.0,30.3,True,True,7,False,250
327,44.8,28.8,298,38.4,17.6,433,64.8,331,47.1,28.1,True,True,8,False,250
328,44.4,28.7,297,40.9,18.8,432,67.5,410,45.1,28.2,True,True,9,False,249
329,41.6,29.1,296,38.8,20.5,432,67.6,394,40.3,28.6,True,True,10,False,247
330,44.9,29.8,295,38.2,19.0,430,61.8,401,44.6,30.1,True,True,0,False,246
331,40.8,29.5,294,41.8,16.5,430,64.8,356,39.8,28.8,True,True,1,False,247
332,44.5,29.8,291,39.1,20.2,430,64.3,377,46.4,31.1,True,True,2,False,247
333,40.6,29.9,290,40.4,19.4,428,64.7,415,43.5,30.4,True,True,3,False,245
334,43.9,30.3,289,42.6,17.2,427,62.5,406,45.7,32.0,True,True,4,False,246
335,41.2,30.4,288,39.6,17.4,426,60.9,334,38.3,30.0,True,True,5,False,245
336,43.2,31.0,287,40.3,20.2,425,59.2,287,45.2,30.6,True,True,6,False,245
337,43.7,31.2,287,41.2,19.6,426,56.7,294,45.7,31.1,True,True,7,False,244
338,41.3,31.2,285,41.6,19.0,427,59.9,322,41.7,31.4,True,True,8,False,245
339,43.6,32.0,285,42.7,16.6,426,56.8,357,41.9,31.9,True,True,9,False,244
340,43.4,32.4,285,43.1,19.8,424,56.8,414,42.3,32.4,True,True,10,False,245
341,40.9,18.4,284,44.2,16.5,424,59.3,302,39.9,20.1,True,True,0,True,243
342,43.8,17.8,281,43.5,16.8,423,57.1,392,44.8,17.6,True,True,1,False,244
343,41.4,18.3,279,44.7,20.5,422,52.4,342,39.4,18.2,True,True,2,False,243
344,43.5,17.6,278,41.4,20.1,421,56.4,394,44.2,17.5,True,True,3,False,244
345,44.5,18.0,276,44.2,16.7,422,56.0,399,44.3,19.8,True,True,4,False,245
346,45.7,17.8,274,42.9,19.8,422,50.5,402,45.5,17.3,True,True,5,False,244
347,45.0,17.4,274,42.7,17.9,420,53.5,342,45.3,19.3,True,True,6,False,244
348,44.4,17.8,273,45.8,17.6,418,52.5,404,42.1,18.6,True,True,7,False,244
349,43.9,17.5,270,44.7,20.5,417,49.4,335,45.8,19.2,True,True,8,False,244
350,46.6,17.2,268,43.3,19.6,417,47.1,357,49.1,19.0,True,True,9,False,244
351,48.3,17.6,266,47.6,17.8,418,49.1,280,49.5,19.1,True,True,10,False,245
352,48.7,17.2,265,47.5,17.9,417,48.9,324,48.5,16.8,True,True,0,False,245
353,49.6,17.1,262,47.8,16.7,417,50.0,391,52.4,16.5,True,True,1,False,245
354,49.8,17.7,260,48.2,20.2,417,47.4,388,50.4,18.4,True,True,2,False,244
355,48.2,17.2,258,47.2,20.9,418,45.8,300,46.1,18.4,True,True,3,False,243
356,51.8,17.2,255,48.7,18.7,419,42.3,359,52.5,18.9,True,True,4,False,241
357,48.6,17.6,254,47.8,16.3,419,44.6,357,50.0,18.3,True,True,5,False,240
358,51.2,16.7,251,47.1,17.4,419,46.5,351,49.7,17.5,True,True,6,False,240
359,51.0,17.2,248,49.8,16.2,418,45.3,404,49.1,17.8,True,True,7,False,239
360,54.6,17.2,247,51.1,20.1,417,44.2,368,51.9,17.0,True,True,8,False,238
361,51.6,17.0,244,49.4,17.9,417,41.5,283,50.3,18.4,True,True,9,False,238
362,53.3,17.5,242,50.1,17.2,417,38.6,380,53.1,18.5,True,True,10,False,238
363,55.4,17.0,242,51.4,17.8,415,41.6,305,55.6,18.1,True,True,0,False,236
364,56.3,16.5,241,49.8,18.8,413,40.7,376,57.2,18.2,True,True,1,False,234
365,57.9,17.2,239,52.7,17.4,412,38.0,362,56.4,18.5,True,True,2,False,234
366,54.9,17.5,237,51.0,18.2,411,37.5,405,52.6,18.1,True,True,3,False,233
367,57.7,16.9,236,50.3,17.3,412,37.0,280,60.3,17.9,True,True,4,False,232
368,58.7,17.1,235,53.8,21.0,412,38.1,403,56.4,17.7,False,False,5,False,230
369,57.8,16.6,232,51.7,17.9,412,40.6,331,55.9,15.7,True,True,6,False,231
370,57.7,17.4,231,53.6,18.7,413,38.0,341,57.6,16.6,True,True,7,False,229
371,58.7,17.4,230,53.3,20.4,412,36.6,413,58.5,18.4,True,True,8,False,228
372,58.5,17.5,230,53.8,17.5,410,33.8,283,56.5,16.6,True,True,9,False,227
373,61.5,16.8,229,53.6,18.9,409,36.8,382,60.4,18.7,True,True,10,False,227
374,59.2,17.4,226,55.4,20.6,408,37.6,374,59.5,17.7,True,True,0,False,228
375,59.2,17.5,225,52.7,19.9,407,36.4,352,58.7,18.9,True,True,1,False,228
376,62.0,17.3,223,53.3,17.7,407,35.7,302,62.8,18.6,True,True,2,False,226
377,59.5,16.9,223,53.7,18.4,405,35.6,318,60.6,18.8,True,True,3,False,225
378,60.4,16.8,221,55.6,18.4,405,36.1,417,58.5,18.2,True,True,4,False,225
379,60.3,17.6,220,56.7,17.1,406,35.7,385,62.5,17.7,True,True,5,False,225
380,61.8,17.8,218,55.2,16.6,407,32.9,371,64.7,17.4,True,True,6,False,224
381,62.8,17.1,217,53.7,17.1,408,37.1,323,63.3,17.8,True,True,7,False,225
382,61.6,17.9,216,55.7,20.6,407,33.3,363,61.2,17.6,True,True,8,False,224
383,63.7,18.0,215,57.4,18.8,406,34.5,305,63.4,17.7,True,True,9,False,224
384,59.9,18.1,213,56.7,16.1,404,32.9,397,62.0,19.3,True,True,10,False,225
385,61.5,18.1,212,57.0,17.3,402,34.6,415,58.7,18.4,True,True,0,False,223
386,63.3,18.1,212,56.1,17.8,400,37.0,373,63.1,17.2,True,True,1,False,222
387,61.9,18.0,212,56.8,17.6,400,37.0,333,63.4,19.3,True,True,2,False,221
388,62.6,17.9,211,56.0,17.8,400,32.9,416,65.0,18.3,True,True,3,False,219
389,61.3,18.6,211,56.8,16.7,400,38.1,307,59.3,17.9,True,True,4,False,218
390,58.9,18.6,209,54.8,17.2,400,33.2,328,56.3,20.2,True,True,5,False,218
391,61.6,18.2,207,56.5,18.4,400,35.3,358,59.6,18.0,True,True,6,False,218
392,61.3,17.9,205,57.0,21.0,398,35.7,319,59.3,17.3,True,True,7,False,217
393,59.2,18.4,202,55.6,16.1,397,35.1,321,59.4,17.8,True,True,8,False,216
394,60.1,19.1,201,56.8,20.6,396,39.8,317,61.9,20.3,True,True,9,False,215
395,57.2,18.7,198,54.0,18.6,395,34.9,294,57.8,18.3,True,True,10,False,214
396,58.4,18.5,196,56.5,16.7,394,35.6,294,60.9,18.6,True,True,0,False,215
397,58.1,18.8,195,54.8,20.9,393,37.2,393,56.8,20.2,True,True,1,False,216
398,55.7,18.7,194,56.7,20.6,394,39.5,376,53.2,18.9,True,True,2,False,216
399,55.0,19.4,193,55.1,17.1,395,41.0,357,55.0,20.6,True,True,3,False,216
400,55.9,19.1,191,53.3,18.5,396,40.8,342,53.1,20.4,False,False,4,False,215
401,55.9,19.3,190,54.9,16.3,395,40.4,284,58.0,18.8,False,False,5,False,213
402,52.6,19.2,189,55.7,16.9,395,39.1,299,52.7,20.5,False,False,6,False,214
403,51.0,19.8,187,55.0,18.1,395,43.9,412,49.7,21.1,False,False,7,False,215
404,53.6,19.6,186,52.3,16.7,395,42.3,402,52.7,20.7,True,True,8,False,215
405,51.0,20.0,186,55.4,20.9,395,45.7,338,49.8,19.6,False,False,9,False,215
406,50.2,19.7,185,54.2,16.2,395,40.7,295,50.0,21.4,False,False,10,False,215
407,49.1,19.9,182,50.8,16.8,393,42.0,351,51.8,19.9,False,False,0,False,216
408,49.2,20.1,181,53.4,20.6,391,45.3,417,46.2,21.3,False,False,1,False,214
409,50.2,20.5,181,53.5,20.9,389,46.8,411,48.6,19.8,False,False,2,False,215
410,46.4,20.3,179,50.2,20.9,387,47.9,396,47.0,20.2,False,False,3,False,216
411,47.0,20.6,178,51.6,19.4,387,49.2,306,46.4,21.2,False,False,4,False,216
412,45.1,21.2,175,50.6,19.6,388,50.6,383,42.8,22.7,True,True,5,False,217
413,45.2,21.2,173,51.5,17.3,388,47.2,317,46.8,20.5,False,False,6,False,216
414,45.5,20.9,172,50.8,16.4,387,46.9,357,46.2,20.2,False,False,7,False,217
415,46.0,21.7,170,51.0,18.2,387,48.3,284,48.7,20.8,False,False,8,False,216
416,46.2,21.4,168,49.1,18.4,387,50.1,390,44.0,22.5,False,False,9,False,215
417,42.5,21.9,166,49.8,20.9,386,52.7,376,43.2,22.0,False,False,10,False,213
418,42.9,21.4,164,46.8,17.2,385,54.4,385,42.0,22.4,True,True,0,False,212
419,43.9,22.4,162,48.7,17.3,384,50.6,388,44.3,24.1,False,False,1,False,213
420,43.8,22.7,161,48.3,17.7,382,53.3,407,43.8,24.0,False,False,2,False,212
421,43.2,22.3,160,47.0,19.6,382,54.8,337,43.9,24.2,True,True,3,False,213
422,42.8,22.2,158,47.5,17.0,381,56.0,356,42.4,22.8,True,True,4,False,212
423,41.9,22.6,157,47.2,20.0,379,58.0,399,40.5,23.5,True,True,5,False,211
424,43.5,23.2,156,48.0,20.3,379,58.6,356,45.6,23.4,True,True,6,False,211
425,43.7,23.3,154,46.5,18.4,378,56.6,342,45.5,23.2,True,True,7,False,210
426,44.0,23.5,152,45.3,20.5,379,57.0,404,45.7,22.7,True,True,8,False,209
427,41.3,22.8,150,44.4,20.7,378,62.3,310,41.4,24.3,True,True,9,False,209
428,43.8,23.7,150,43.8,18.2,378,58.8,307,41.9,25.6,True,True,10,False,207
429,41.2,23.5,150,44.8,20.1,377,60.4,317,40.4,24.6,True,True,0,False,206
430,40.4,23.7,147,46.0,18.7,375,63.9,372,42.8,24.8,True,True,1,False,206
431,41.5,23.3,146,43.5,19.8,375,65.4,392,42.3,24.9,True,True,2,False,205
432,42.4,24.3,145,41.6,17.8,374,65.3,321,43.6,24.8,True,True,3,False,205
433,43.5,24.3,144,44.4,18.9,372,63.8,382,41.7,24.2,True,True,4,False,204
434,41.8,24.4,141,41.8,17.6,371,66.4,346,39.8,25.2,True,True,5,False,204
435,42.9,24.2,139,40.8,16.2,371,64.8,330,41.5,25.8,True,True,6,False,202
436,44.7,24.1,138,42.6,17.3,372,68.9,328,47.4,25.5,True,True,7,False,202
437,45.6,24.5,138,41.5,18.3,370,65.0,354,48.5,24.2,True,True,8,False,201
438,44.1,24.9,136,42.0,16.3,370,64.9,345,41.5,25.6,True,True,9,False,200
439,47.4,24.7,133,41.3,16.2,371,68.7,374,45.2,26.4,True,True,10,False,200
440,44.9,25.0,131,39.9,20.9,372,67.7,291,47.8,25.5,True,True,0,False,200
441,45.9,25.0,130,40.5,19.2,371,71.6,318,46.2,26.8,True,True,1,False,200
442,47.2,24.8,129,39.6,18.8,372,67.9,290,46.8,26.8,True,True,2,False,200
443,47.9,25.5,127,39.1,18.6,373,68.2,334,48.4,27.4,True,True,3,False,200
444,49.0,25.0,124,40.2,16.4,372,72.4,307,51.0,24.5,True,True,4,False,200
445,50.7,25.5,121,41.0,19.2,371,74.0,313,49.0,24.6,True,True,5,False,200
446,49.3,25.2,119,38.5,17.9,371,74.4,302,46.4,24.8,True,True,6,False,200
447,50.4,26.2,118,40.8,20.4,371,70.1,374,50.5,26.7,True,True,7,False,200
448,51.3,25.8,116,40.4,20.7,371,74.1,337,52.2,26.9,True,True,8,False,200
449,52.2,25.5,116,40.6,20.6,370,72.7,355,52.6,26.2,True,True,9,False,201
450,52.9,25.9,114,40.1,18.0,370,73.0,398,51.0,25.4,True,True,10,False,200
451,51.9,25.9,113,41.5,18.7,369,74.1,346,54.1,25.2,True,True,0,False,200
452,52.2,25.9,111,38.5,16.7,368,73.7,381,54.0,25.2,True,True,1,False,200
453,53.7,26.5,110,41.3,18.3,367,72.2,417,51.8,26.4,True,True,2,False,200
454,55.5,26.0,108,38.2,19.2,367,72.2,380,52.8,25.0,True,True,3,False,201
455,57.1,26.8,106,42.1,16.1,368,75.9,404,55.5,26.0,True,True,4,False,201
456,57.1,26.3,104,40.4,18.5,368,75.6,329,56.9,26.6,True,True,5,False,201
457,57.8,27.0,102,41.1,20.2,369,76.9,372,59.6,28.4,True,True,6,False,200
458,58.5,26.9,101,39.6,16.2,369,75.9,406,57.3,26.5,True,True,7,False,200
459,56.6,26.5,100,42.1,19.9,370,72.9,337,56.5,28.5,True,True,8,False,200
460,60.1,26.8,100,41.8,20.3,368,77.4,307,61.8,27.6,True,True,9,False,200
461,57.9,26.8,100,41.2,19.2,367,73.0,407,59.3,26.1,True,True,10,False,200
462,59.3,27.2,100,39.7,19.1,368,74.6,375,60.6,27.4,True,True,0,False,200
463,59.4,26.9,100,42.4,16.3,368,76.6,282,60.7,27.5,True,True,1,False,200
464,60.1,27.2,100,41.2,20.4,366,74.4,413,62.9,27.5,True,True,2,False,200
465,61.9,27.1,100,43.3,18.2,365,73.6,419,62.6,28.0,True,True,3,False,200
466,60.7,27.1,100,43.3,18.6,366,76.2,334,58.3,27.8,True,True,4,False,200
467,62.6,26.5,100,41.0,18.5,367,76.1,295,64.6,26.3,True,True,5,False,200
468,60.2,27.4,100,43.7,17.2,367,73.8,315,61.5,28.0,True,True,6,False,200
469,61.2,27.3,100,43.3,17.8,366,73.0,313,61.1,27.6,True,True,7,False,200
470,62.1,27.0,100,43.6,19.6,365,72.9,321,60.0,26.4,True,True,8,False,200
471,60.5,27.4,100,44.4,16.6,364,71.0,310,61.1,27.6,True,True,9,False,200
472,62.3,26.7,100,42.1,17.4,364,72.2,292,64.9,26.6,True,True,10,False,200
473,60.7,26.5,100,45.2,19.0,364,72.8,376,60.6,27.7,True,True,0,False,200
474,62.9,26.9,100,44.7,20.5,363,71.9,366,63.1,28.8,True,True,1,False,201
475,62.6,27.3,100,45.6,19.8,361,73.0,293,65.3,27.9,True,True,2,False,200
476,61.5,27.1,100,43.5,20.3,361,71.5,362,60.9,26.2,True,True,3,False,200
477,59.3,26.8,100,45.5,17.5,360,73.0,326,57.8,26.1,True,True,4,False,200
478,60.5,27.0,100,44.8,16.6,360,69.3,346,59.8,28.5,True,True,5,False,201
479,59.4,27.0,100,47.6,20.6,361,69.7,403,56.6,27.9,True,True,6,False,202
480,58.3,26.9,100,47.2,19.9,361,66.8,316,57.5,28.9,True,True,7,False,201
481,59.9,27.2,100,47.0,19.4,360,68.4,403,58.5,27.0,True,True,8,True,200
482,61.3,26.5,100,49.1,20.4,360,70.1,315,62.7,28.5,True,True,9,False,200
483,57.6,27.0,100,48.2,16.1,359,69.7,333,57.4,27.8,True,True,10,False,200
484,59.0,26.1,100,49.1,20.1,359,66.7,299,59.2,27.8,True,True,0,False,200
485,57.5,27.1,100,47.4,16.1,358,65.4,329,57.2,26.8,True,True,1,False,200
486,56.2,26.4,100,51.0,17.0,356,63.0,406,58.6,27.5,True,True,2,False,201
487,55.3,26.3,100,51.0,20.3,356,67.0,296,53.1,28.1,True,True,3,False,200
488,57.4,26.2,100,51.0,20.2,355,66.2,293,59.5,26.2,True,True,4,False,201
489,54.8,26.3,100,49.0,16.4,353,63.3,360,51.8,25.9,True,True,5,False,202
490,54.8,26.5,100,49.0,16.1,353,65.5,304,52.0,26.8,True,True,6,False,203
491,55.1,26.5,100,53.0,18.9,352,60.4,392,56.7,27.4,True,True,7,False,202
492,51.5,25.6,100,49.8,16.3,352,60.0,296,49.1,24.8,True,True,8,False,201
493,53.9,26.1,100,51.6,16.1,352,59.8,366,54.8,27.1,True,True,9,False,201
494,51.8,25.5,100,52.6,16.9,350,56.7,387,51.7,26.4,True,True,10,False,200
495,49.6,25.4,100,50.8,19.3,349,59.3,374,52.4,26.0,True,True,0,False,201
496,49.0,26.0,100,51.9,19.0,348,58.4,401,50.2,27.9,True,True,1,False,201
497,49.0,26.0,100,53.6,17.1,348,57.9,337,50.2,26.4,True,True,2,False,200
498,48.9,25.8,100,54.6,19.2,347,58.3,309,46.8,26.1,True,True,3,True,201
499,50.0,25.8,100,53.3,17.3,348,53.8,325,48.2,25.3,True,True,4,False,200
500,46.1,24.9,100,55.4,21.0,349,55.6,323,48.7,26.8,True,True,5,False,200
501,48.6,24.7,100,55.9,18.9,350,54.6,342,51.1,26.0,True,True,6,False,200
502,47.9,24.7,100,53.8,20.4,351,56.0,296,45.9,24.9,True,True,7,False,200
503,46.9,24.9,100,54.3,18.3,350,56.7,289,45.1,26.6,True,True,8,False,200
504,44.3,24.7,100,53.9,19.1,349,58.5,338,44.8,25.1,True,True,9,False,200
505,44.6,24.6,100,55.1,18.5,348,61.2,371,47.0,24.5,True,True,10,False,201
506,44.6,24.3,100,53.7,19.4,347,59.9,344,43.4,25.7,True,True,0,False,200
507,43.1,24.9,100,56.3,16.1,348,64.0,383,45.0,26.2,True,True,1,False,200
508,44.2,24.7,100,57.6,20.0,346,64.5,399,45.5,25.1,True,True,2,False,200
509,42.5,24.4,100,54.5,17.8,345,64.8,282,42.5,25.4,True,True,3,False,200
510,41.8,24.2,100,55.5,20.6,344,66.1,364,42.2,25.6,True,True,4,False,200
511,42.9,23.7,100,55.5,18.8,345,67.8,357,40.5,23.0,True,True,5,False,201
512,40.5,23.7,100,56.7,17.6,344,65.7,294,39.7,22.7,True,True,6,False,202
513,43.9,24.1,100,55.6,16.8,342,66.5,390,45.8,25.1,True,True,7,False,201
514,42.4,23.1,100,55.2,20.4,342,69.9,343,42.6,24.8,True,True,8,False,202
515,41.9,23.5,100,56.3,16.9,341,69.2,390,41.6,25.2,True,True,9,False,201
516,42.3,23.6,100,55.5,19.8,340,70.0,335,44.8,23.8,True,True,10,False,200
517,40.5,23.2,100,55.4,18.3,339,72.0,298,41.3,24.2,True,True,0,False,200
518,41.5,22.5,100,55.4,18.2,337,71.2,420,42.4,23.6,True,True,1,False,200
519,42.1,22.3,100,54.9,17.8,338,75.4,282,43.2,21.8,True,True,2,False,201
520,41.2,22.7,100,53.8,20.6,336,73.9,292,42.8,24.0,True,True,3,False,201
521,42.1,22.0,100,54.5,18.6,336,75.7,322,43.4,21.1,True,True,4,False,201
522,44.1,22.4,100,54.7,17.9,335,77.5,283,43.5,22.3,True,True,5,False,201
523,43.0,22.4,100,53.5,20.6,335,78.6,306,44.3,23.8,True,True,6,False,201
524,43.8,21.5,100,54.0,16.3,333,78.3,361,46.7,22.5,True,True,7,False,200
525,41.9,21.7,100,56.5,17.2,331,80.0,359,40.3,22.0,True,True,8,False,200
526,42.6,21.6,100,53.2,16.2,329,79.8,351,41.5,23.0,True,True,9,False,201
527,45.9,21.8,100,54.0,17.1,328,83.0,343,47.7,22.9,True,True,10,False,201
528,46.8,21.0,100,54.2,20.7,328,83.5,324,47.4,22.5,True,True,0,False,201
529,44.7,21.4,100,52.2,16.4,329,83.2,331,43.3,22.7,True,True,1,False,201
530,48.3,20.7,100,53.2,19.6,330,84.8,356,48.9,20.2,True,True,2,False,202
531,46.0,20.9,100,53.2,19.6,331,85.5,281,43.1,21.4,True,True,3,False,203
532,47.5,21.2,100,54.7,17.0,331,88.9,311,46.8,21.9,True,True,4,False,201
533,48.0,21.0,100,51.7,20.1,330,88.9,343,46.5,20.1,True,True,5,False,200
534,49.4,20.7,100,53.1,19.2,328,89.6,321,46.5,22.0,True,True,6,False,200
535,51.2,20.4,100,51.6,17.5,327,91.6,416,52.2,20.5,True,True,7,False,200
536,49.9,20.4,100,53.2,18.5,328,89.4,358,46.9,19.9,True,True,8,False,200
537,49.3,20.0,100,52.4,18.8,328,91.7,326,49.3,19.3,True,True,9,False,200
538,50.5,20.2,100,49.7,16.3,328,94.2,355,48.0,19.6,True,True,10,False,200
539,50.4,19.8,100,49.5,20.8,327,95.0,281,49.7,20.4,True,True,0,False,200
540,52.1,19.9,100,50.1,20.4,326,95.4,376,52.8,21.8,True,True,1,False,200
541,54.9,19.9,100,47.8,19.3,324,34.5,343,54.1,20.8,True,True,2,False,200
542,54.3,19.1,100,49.0,16.4,323,38.1,404,53.7,19.9,True,True,3,False,201
543,54.8,19.7,100,50.7,16.4,322,38.2,409,52.0,20.2,True,True,4,False,200
544,57.0,19.6,100,50.6,16.1,321,35.2,302,54.6,21.6,True,True,5,False,200
545,58.1,18.9,100,47.5,20.4,320,34.2,405,55.6,20.0,True,True,6,False,200
546,58.7,19.0,100,48.9,20.7,319,36.6,308,56.2,20.2,True,True,7,False,200
547,58.5,18.6,100,45.9,20.7,318,38.1,361,60.1,20.0,True,True,8,False,200
548,56.6,18.7,100,47.7,20.0,317,33.9,352,54.5,19.7,True,True,9,False,200
549,59.5,18.4,100,47.0,16.8,316,39.5,376,56.9,19.8,True,True,10,False,200
550,60.0,18.9,100,47.6,17.7,317,35.2,320,62.9,19.5,True,True,0,False,200
551,60.4,18.6,100,47.8,18.3,316,36.6,293,62.5,19.7,True,True,1,False,200
552,58.7,18.4,100,44.0,16.7,316,36.4,306,59.8,20.4,True,True,2,False,200
553,62.3,18.5,100,44.8,18.0,315,40.6,391,65.1,19.4,True,True,3,False,200
554,59.0,18.0,100,43.7,16.6,313,39.6,374,56.1,17.3,True,True,4,False,200
555,61.7,17.7,100,46.0,17.6,312,39.5,391,60.5,17.1,True,True,5,False,200
556,62.2,17.9,100,45.4,16.9,312,38.9,310,60.3,18.7,True,True,6,False,200
557,61.8,17.4,100,44.8,20.9,313,37.7,373,64.6,16.9,True,True,7,False,200
558,62.4,17.3,100,42.3,19.4,314,43.2,370,63.0,17.8,True,True,8,False,200
559,62.6,17.2,100,41.2,17.9,312,38.9,388,60.0,17.0,True,True,9,False,200
560,63.6,17.1,100,42.3,19.2,310,40.1,329,64.9,17.8,True,True,10,False,201
561,62.0,17.8,100,41.1,16.4,310,41.1,420,61.4,17.8,True,True,0,False,202
562,63.6,17.1,100,43.2,17.5,311,44.6,311,61.7,18.3,True,True,1,False,203
563,63.2,17.4,100,41.8,20.8,309,44.7,326,62.3,18.6,True,True,2,False,203
564,61.9,17.7,100,42.0,20.9,309,44.0,348,59.2,18.9,True,True,3,False,201
565,62.4,17.4,100,40.4,20.7,309,46.1,338,61.2,19.0,True,True,4,False,200
566,61.0,16.8,100,40.4,20.7,309,43.0,406,62.9,15.8,True,True,5,False,200
567,61.8,16.8,100,42.7,17.2,308,46.2,388,63.0,18.0,True,True,6,False,200
568,61.8,17.5,100,42.6,18.1,307,49.3,314,61.9,19.4,True,True,7,False,200
569,60.0,16.7,100,40.1,20.7,307,50.2,380,58.3,16.6,False,False,8,False,200
570,60.7,16.6,100,41.8,18.0,308,48.2,281,59.8,17.8,True,True,9,False,201
571,57.7,16.8,100,40.1,18.1,309,49.4,400,57.1,16.7,True,True,10,False,201
572,57.9,16.6,100,41.5,16.7,310,49.6,330,55.6,16.5,True,True,0,True,200
573,58.4,16.6,100,39.5,18.0,311,51.8,363,59.9,17.9,True,True,1,False,200
574,59.0,17.3,100,41.1,16.0,311,49.4,367,58.6,18.1,True,True,2,False,200
575,57.5,16.6,100,39.2,18.4,309,51.9,343,58.5,16.9,True,True,3,False,201
576,58.1,17.2,100,38.4,16.5,309,53.8,317,57.7,18.0,True,True,4,False,202
577,54.6,16.8,100,39.6,20.7,309,54.7,357,52.3,16.9,True,True,5,False,201
578,56.6,17.4,100,39.0,18.5,308,52.8,305,56.2,17.2,True,True,6,False,202
579,54.4,17.2,100,38.5,19.1,308,56.6,378,51.9,16.5,True,True,7,False,201
580,54.8,17.5,100,38.3,17.0,307,58.6,357,56.2,19.5,True,True,8,False,201
581,54.6,16.7,100,38.3,20.0,307,57.4,387,54.7,18.6,True,True,9,False,200
582,51.7,17.5,100,39.4,19.8,305,56.7,411,54.5,17.0,True,True,10,False,200
583,51.8,17.0,100,41.5,17.3,305,57.4,396,51.8,18.2,True,True,0,False,200
584,53.0,16.9,100,39.7,20.0,303,57.2,351,55.6,16.7,True,True,1,False,200
585,51.5,17.5,100,39.6,19.1,302,60.5,347,52.8,17.7,True,True,2,False,200
586,49.5,17.5,100,39.0,18.8,303,63.0,345,51.7,18.4,True,True,3,False,200
587,50.8,17.0,100,39.9,20.1,302,62.3,303,50.8,17.4,True,True,4,False,200
588,47.6,17.8,100,41.5,20.5,301,60.6,316,45.0,17.5,True,True,5,False,201
589,50.1,17.4,100,39.8,17.3,301,64.6,291,47.9,18.7,True,True,6,False,201
590,49.3,17.7,100,42.1,18.4,299,61.1,393,51.2,17.6,True,True,7,False,201
591,45.9,17.3,100,42.1,17.8,300,65.0,286,44.3,17.5,True,True,8,False,202
592,45.5,17.8,100,43.9,17.8,299,66.5,371,43.0,17.8,True,True,9,False,202
593,47.5,17.2,100,40.8,20.4,297,64.0,357,48.2,17.1,True,True,10,False,201
594,44.3,17.6,100,42.7,18.1,297,65.3,402,46.2,16.9,True,True,0,False,200
595,45.7,17.6,100,41.6,20.6,297,65.1,365,43.5,19.4,True,True,1,False,200
596,43.8,17.9,100,43.6,16.0,296,68.0,336,45.0,17.6,True,True,2,False,200
597,45.8,18.0,100,41.8,16.3,296,71.3,387,44.3,19.5,True,True,3,False,201
598,42.0,18.3,100,45.9,16.4,295,68.4,320,39.2,18.4,True,True,4,False,200
599,41.4,18.5,100,44.7,17.4,293,67.6,393,43.1,19.6,True,True,5,False,200
600,51.3,17.8,100,46.3,20.7,294,71.8,408,50.1,17.5,True,True,6,False,200
